task,demo,selection_family,method_label,source_group,run_root,eval_root,step_dir,round_index,camera,total_videos,camera_videos,num_cameras,success_mean,success_pct,reward_mean,status
lift,15,matched_vs_ours,Pi0droid LoRA + SAILOR best round,ours,/OURS/sailor_pi0_lift15_ckpt24000_full_8d_diff/logs/robomimic__lift/lift15_24000_demos15/seed108,/OURS/sailor_pi0_lift15_ckpt24000_full_8d_diff/logs/robomimic__lift/lift15_24000_demos15/seed108/SAILOR_eval_videos,/OURS/sailor_pi0_lift15_ckpt24000_full_8d_diff/logs/robomimic__lift/lift15_24000_demos15/seed108/SAILOR_eval_videos/step_round_20,20,all,10,10,2,1.000000,100.00,-35.364000,selected
can,5,latest,Step init,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.160000,16.00,-178.768000,selected
can,5,latest,Latest distilled Pi0Jax,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos/step_round_40,40,all,10,10,2,0.000000,0.00,-198.108000,selected
can,5,latest,Latest round of SAILOR training,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos/step_round_40,40,all,10,10,2,0.000000,0.00,-198.346000,selected
can,5,best,Step init,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.160000,16.00,-178.768000,selected
can,5,best,Best distilled Pi0Jax,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos/step_round_10,10,all,10,10,2,0.200000,20.00,-177.180000,selected
can,5,best,Best round of SAILOR training,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.400000,40.00,-158.996000,selected
can,5,official_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/DP_Distilled_eval_videos,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.260000,26.00,-164.486000,selected
can,5,official_vs_ours,DP + SAILOR best round,official,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/SAILOR_eval_videos,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/SAILOR_eval_videos/step_round_80,80,all,10,10,2,0.760000,76.00,-100.352000,selected
can,5,official_vs_ours,Pi0droid LoRA + SAILOR step_init,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.160000,16.00,-178.768000,selected
can,5,official_vs_ours,Pi0droid LoRA + SAILOR best round,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.400000,40.00,-158.996000,selected
can,5,matched_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/DP_Distilled_eval_videos,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.260000,26.00,-164.486000,selected
can,5,matched_vs_ours,DP + SAILOR matched round,official,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/SAILOR_eval_videos,/OFFICIAL/robomimic__can/can_5_demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos5/seed0/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.440000,44.00,-142.938000,selected
can,5,matched_vs_ours,Pi0droid LoRA + SAILOR step_init,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.160000,16.00,-178.768000,selected
